alt_of_detection_km,lat_of_detection,lon_of_detection,vert_wavelength_km,horiz_wavelength_km,propagation_dir,axial_ratio,int_vert_group_vel_ms,int_horiz_group_vel_ms,int_vert_phase_spd_ms,int_horiz_phase_spd_ms,degreeofpolarization,stokes_param_Q
17.08,-30.238839,-70.616609,0.426567569450778,70.2155447963324,140.632785420677,1.64322518630623,-0.00724395430273291,1.19239772142317,0.0115046301733113,1.89373016879706,0.949931712595642,-0.11917257988462
17.6775,-30.238139,-70.585548,1.29180532676401,111.107831527134,15.1414235097928,2.63805365749961,-0.0478959084917278,4.11951431170254,0.055933042162903,4.81078603461371,0.935258547326098,-0.612915967611814
20.995,-30.213129,-70.465503,0.895278482166286,136.86430273735,143.092158123649,1.39224243760916,-0.00990354760705796,1.51398940649887,0.0204578862346147,3.12746747604789,0.862321339249379,-0.533148449647682
22.1575,-30.198179,-70.444291,1.21928379994001,10.3918568130689,77.1594379917614,2.40708301473171,-0.039856936655406,0.339697434470068,0.0481707731743835,0.410555587983408,0.973314517222679,-0.693380075266604
30.0925,-30.153492,-70.238193,0.596578531188709,55.801665276744,47.3810982520835,2.17083398758513,-0.0167454791487056,1.56630782621842,0.0212560213785477,1.98820662841761,0.98898410356836,0.118631144173235
17.08,-30.239,-70.617,0.42657,70.216,140.63,1.6432,-0.007244,1.1924,0.011505,1.8937,0.94993,-0.11917
17.677,-30.238,-70.586,1.2918,111.11,15.141,2.6381,-0.047896,4.1195,0.055933,4.8108,0.93526,-0.61292
20.995,-30.213,-70.466,0.89528,136.86,143.09,1.3922,-0.0099035,1.514,0.020458,3.1275,0.86232,-0.53315
22.157,-30.198,-70.444,1.2193,10.392,77.159,2.4071,-0.039857,0.3397,0.048171,0.41056,0.97331,-0.69338
30.093,-30.153,-70.238,0.59658,55.802,47.381,2.1708,-0.016745,1.5663,0.021256,1.9882,0.98898,0.11863
17.08,-30.239,-70.617,0.42657,70.216,140.63,1.6432,-0.007244,1.1924,0.011505,1.8937,0.94993,-0.11917
17.677,-30.238,-70.586,1.2918,111.11,15.141,2.6381,-0.047896,4.1195,0.055933,4.8108,0.93526,-0.61292
20.995,-30.213,-70.466,0.89528,136.86,143.09,1.3922,-0.0099035,1.514,0.020458,3.1275,0.86232,-0.53315
22.157,-30.198,-70.444,1.2193,10.392,77.159,2.4071,-0.039857,0.3397,0.048171,0.41056,0.97331,-0.69338
30.093,-30.153,-70.238,0.59658,55.802,47.381,2.1708,-0.016745,1.5663,0.021256,1.9882,0.98898,0.11863
17.08,-30.239,-70.617,0.42657,70.216,140.63,1.6432,-0.007244,1.1924,0.011505,1.8937,0.94993,-0.11917
17.677,-30.238,-70.586,1.2918,111.11,15.141,2.6381,-0.047896,4.1195,0.055933,4.8108,0.93526,-0.61292
20.995,-30.213,-70.466,0.89528,136.86,143.09,1.3922,-0.0099035,1.514,0.020458,3.1275,0.86232,-0.53315
22.157,-30.198,-70.444,1.2193,10.392,77.159,2.4071,-0.039857,0.3397,0.048171,0.41056,0.97331,-0.69338
30.093,-30.153,-70.238,0.59658,55.802,47.381,2.1708,-0.016745,1.5663,0.021256,1.9882,0.98898,0.11863
17.08,-30.239,-70.617,0.42657,70.216,140.63,1.6432,-0.007244,1.1924,0.011505,1.8937,0.94993,-0.11917
17.677,-30.238,-70.586,1.2918,111.11,15.141,2.6381,-0.047896,4.1195,0.055933,4.8108,0.93526,-0.61292
20.995,-30.213,-70.466,0.89528,136.86,143.09,1.3922,-0.0099035,1.514,0.020458,3.1275,0.86232,-0.53315
22.157,-30.198,-70.444,1.2193,10.392,77.159,2.4071,-0.039857,0.3397,0.048171,0.41056,0.97331,-0.69338
30.093,-30.153,-70.238,0.59658,55.802,47.381,2.1708,-0.016745,1.5663,0.021256,1.9882,0.98898,0.11863
17.08,-30.239,-70.617,0.42657,70.216,140.63,1.6432,-0.007244,1.1924,0.011505,1.8937,0.94993,-0.11917
17.677,-30.238,-70.586,1.2918,111.11,15.141,2.6381,-0.047896,4.1195,0.055933,4.8108,0.93526,-0.61292
20.995,-30.213,-70.466,0.89528,136.86,143.09,1.3922,-0.0099035,1.514,0.020458,3.1275,0.86232,-0.53315
22.157,-30.198,-70.444,1.2193,10.392,77.159,2.4071,-0.039857,0.3397,0.048171,0.41056,0.97331,-0.69338
30.093,-30.153,-70.238,0.59658,55.802,47.381,2.1708,-0.016745,1.5663,0.021256,1.9882,0.98898,0.11863
17.08,-30.239,-70.617,0.42657,70.216,140.63,1.6432,-0.007244,1.1924,0.011505,1.8937,0.94993,-0.11917
17.677,-30.238,-70.586,1.2918,111.11,15.141,2.6381,-0.047896,4.1195,0.055933,4.8108,0.93526,-0.61292
20.995,-30.213,-70.466,0.89528,136.86,143.09,1.3922,-0.0099035,1.514,0.020458,3.1275,0.86232,-0.53315
22.157,-30.198,-70.444,1.2193,10.392,77.159,2.4071,-0.039857,0.3397,0.048171,0.41056,0.97331,-0.69338
30.093,-30.153,-70.238,0.59658,55.802,47.381,2.1708,-0.016745,1.5663,0.021256,1.9882,0.98898,0.11863
