alt_of_detection_km,lat_of_detection,lon_of_detection,vert_wavelength_km,horiz_wavelength_km,propagation_dir,axial_ratio,int_vert_group_vel_ms,int_horiz_group_vel_ms,int_vert_phase_spd_ms,int_horiz_phase_spd_ms,degreeofpolarization,stokes_param_Q
17.185,-29.848453,-70.629146,1.18810502659293,210.43445888117,102.080525725587,1.61491927665989,-0.0194163751320909,3.43898418313422,0.0314915035990617,5.57770346130643,0.991860681775733,-1.336057166794
19.3325,-29.820115,-70.522869,0.860234308850703,52.7249924453617,109.138110591434,3.63943567904157,-0.0475058067278408,2.91169891164028,0.0513852593858293,3.14947611952432,0.986875751247302,-0.656598803081764
24.64,-29.752704,-70.369169,0.937972707124346,3.12246693305667,107.724805033602,8.35803351366615,-0.126829475459615,0.42220934601999,0.128671408501079,0.428341054300189,0.975998240720338,0.234736666300377
17.185,-29.848,-70.629,1.1881,210.43,102.08,1.6149,-0.019416,3.439,0.031492,5.5777,0.99186,-1.3361
19.332,-29.82,-70.523,0.86023,52.725,109.14,3.6394,-0.047506,2.9117,0.051385,3.1495,0.98688,-0.6566
24.64,-29.753,-70.369,0.93797,3.1225,107.72,8.358,-0.12683,0.42221,0.12867,0.42834,0.976,0.23474
17.185,-29.848,-70.629,1.1881,210.43,102.08,1.6149,-0.019416,3.439,0.031492,5.5777,0.99186,-1.3361
19.332,-29.82,-70.523,0.86023,52.725,109.14,3.6394,-0.047506,2.9117,0.051385,3.1495,0.98688,-0.6566
24.64,-29.753,-70.369,0.93797,3.1225,107.72,8.358,-0.12683,0.42221,0.12867,0.42834,0.976,0.23474
17.185,-29.848,-70.629,1.1881,210.43,102.08,1.6149,-0.019416,3.439,0.031492,5.5777,0.99186,-1.3361
19.332,-29.82,-70.523,0.86023,52.725,109.14,3.6394,-0.047506,2.9117,0.051385,3.1495,0.98688,-0.6566
24.64,-29.753,-70.369,0.93797,3.1225,107.72,8.358,-0.12683,0.42221,0.12867,0.42834,0.976,0.23474
17.185,-29.848,-70.629,1.1881,210.43,102.08,1.6149,-0.019416,3.439,0.031492,5.5777,0.99186,-1.3361
19.332,-29.82,-70.523,0.86023,52.725,109.14,3.6394,-0.047506,2.9117,0.051385,3.1495,0.98688,-0.6566
24.64,-29.753,-70.369,0.93797,3.1225,107.72,8.358,-0.12683,0.42221,0.12867,0.42834,0.976,0.23474
17.185,-29.848,-70.629,1.1881,210.43,102.08,1.6149,-0.019416,3.439,0.031492,5.5777,0.99186,-1.3361
19.332,-29.82,-70.523,0.86023,52.725,109.14,3.6394,-0.047506,2.9117,0.051385,3.1495,0.98688,-0.6566
24.64,-29.753,-70.369,0.93797,3.1225,107.72,8.358,-0.12683,0.42221,0.12867,0.42834,0.976,0.23474
17.185,-29.848,-70.629,1.1881,210.43,102.08,1.6149,-0.019416,3.439,0.031492,5.5777,0.99186,-1.3361
19.332,-29.82,-70.523,0.86023,52.725,109.14,3.6394,-0.047506,2.9117,0.051385,3.1495,0.98688,-0.6566
24.64,-29.753,-70.369,0.93797,3.1225,107.72,8.358,-0.12683,0.42221,0.12867,0.42834,0.976,0.23474
