alt_of_detection_km,lat_of_detection,lon_of_detection,vert_wavelength_km,horiz_wavelength_km,propagation_dir,axial_ratio,int_vert_group_vel_ms,int_horiz_group_vel_ms,int_vert_phase_spd_ms,int_horiz_phase_spd_ms,degreeofpolarization,stokes_param_Q
18.2725,-29.748325,-70.471325,1.34899843473973,172.72168551257,83.7918967068616,1.92402209049637,-0.0310922492236634,3.98095768978719,0.0425999652643368,5.45437089751166,0.965609993380205,-0.887965998597847
25.0375,-29.672195,-70.256769,0.730328616050326,85.5707894676134,111.04107574959,2.06610511908297,-0.0189644703526803,2.22201987468362,0.024766148724826,2.90178811548807,0.967960825785501,0.759588468296905
18.273,-29.748,-70.471,1.349,172.72,83.792,1.924,-0.031092,3.981,0.0426,5.4544,0.96561,-0.88797
25.038,-29.672,-70.257,0.73033,85.571,111.04,2.0661,-0.018964,2.222,0.024766,2.9018,0.96796,0.75959
18.273,-29.748,-70.471,1.349,172.72,83.792,1.924,-0.031092,3.981,0.0426,5.4544,0.96561,-0.88797
25.038,-29.672,-70.257,0.73033,85.571,111.04,2.0661,-0.018964,2.222,0.024766,2.9018,0.96796,0.75959
18.273,-29.748,-70.471,1.349,172.72,83.792,1.924,-0.031092,3.981,0.0426,5.4544,0.96561,-0.88797
25.038,-29.672,-70.257,0.73033,85.571,111.04,2.0661,-0.018964,2.222,0.024766,2.9018,0.96796,0.75959
18.273,-29.748,-70.471,1.349,172.72,83.792,1.924,-0.031092,3.981,0.0426,5.4544,0.96561,-0.88797
25.038,-29.672,-70.257,0.73033,85.571,111.04,2.0661,-0.018964,2.222,0.024766,2.9018,0.96796,0.75959
18.273,-29.748,-70.471,1.349,172.72,83.792,1.924,-0.031092,3.981,0.0426,5.4544,0.96561,-0.88797
25.038,-29.672,-70.257,0.73033,85.571,111.04,2.0661,-0.018964,2.222,0.024766,2.9018,0.96796,0.75959
18.273,-29.748,-70.471,1.349,172.72,83.792,1.924,-0.031092,3.981,0.0426,5.4544,0.96561,-0.88797
25.038,-29.672,-70.257,0.73033,85.571,111.04,2.0661,-0.018964,2.222,0.024766,2.9018,0.96796,0.75959
