alt_of_detection_km,lat_of_detection,lon_of_detection,vert_wavelength_km,horiz_wavelength_km,propagation_dir,axial_ratio,int_vert_group_vel_ms,int_horiz_group_vel_ms,int_vert_phase_spd_ms,int_horiz_phase_spd_ms,degreeofpolarization,stokes_param_Q
15.19,-30.442339,-70.188465,0.910414973958885,85.5632461997234,158.166593997827,2.44330308077049,-0.0303936308577479,2.8564751177988,0.0365093818537088,3.43124983386935,0.996794407448406,-0.697960185738995
20.465,-30.4642,-69.933174,5.10985682912406,1199.12360787543,71.6623070219109,1.26948829629163,-0.0404050484661757,9.48180137200589,0.1064694911737,24.9850601796124,0.924134611913523,-12.2431685180478
23.13,-30.44572,-69.883069,2.61672131978238,155.423012514158,31.4261634243787,2.48760324353458,-0.0895732419657741,5.32030025579416,0.106838143412691,6.34576787947792,0.931054520399803,-1.33832159672945
21.94,-30.454338,-69.90611,0.508756113274869,16.813454879526,76.7312389458798,4.79686282231789,-0.0383140460616708,1.26620883346897,0.0400548108247182,1.32373791083173,0.978611798614891,-0.0691495732280538
25.25,-30.430596,-69.825623,1.36875825446609,26.3974974055619,46.5365311384748,1.91292395294498,-0.0312306152485471,0.602305105600405,0.0429746354917389,0.828797068581441,0.861453618238473,0.683907043347708
15.19,-30.442,-70.188,0.91041,85.563,158.17,2.4433,-0.030394,2.8565,0.036509,3.4312,0.99679,-0.69796
20.465,-30.464,-69.933,5.1099,1199.1,71.662,1.2695,-0.040405,9.4818,0.10647,24.985,0.92413,-12.243
23.13,-30.446,-69.883,2.6167,155.42,31.426,2.4876,-0.089573,5.3203,0.10684,6.3458,0.93105,-1.3383
21.94,-30.454,-69.906,0.50876,16.813,76.731,4.7969,-0.038314,1.2662,0.040055,1.3237,0.97861,-0.06915
25.25,-30.431,-69.826,1.3688,26.397,46.537,1.9129,-0.031231,0.60231,0.042975,0.8288,0.86145,0.68391
15.19,-30.442,-70.188,0.91041,85.563,158.17,2.4433,-0.030394,2.8565,0.036509,3.4312,0.99679,-0.69796
20.465,-30.464,-69.933,5.1099,1199.1,71.662,1.2695,-0.040405,9.4818,0.10647,24.985,0.92413,-12.243
23.13,-30.446,-69.883,2.6167,155.42,31.426,2.4876,-0.089573,5.3203,0.10684,6.3458,0.93105,-1.3383
21.94,-30.454,-69.906,0.50876,16.813,76.731,4.7969,-0.038314,1.2662,0.040055,1.3237,0.97861,-0.06915
25.25,-30.431,-69.826,1.3688,26.397,46.537,1.9129,-0.031231,0.60231,0.042975,0.8288,0.86145,0.68391
15.19,-30.442,-70.188,0.91041,85.563,158.17,2.4433,-0.030394,2.8565,0.036509,3.4312,0.99679,-0.69796
20.465,-30.464,-69.933,5.1099,1199.1,71.662,1.2695,-0.040405,9.4818,0.10647,24.985,0.92413,-12.243
23.13,-30.446,-69.883,2.6167,155.42,31.426,2.4876,-0.089573,5.3203,0.10684,6.3458,0.93105,-1.3383
21.94,-30.454,-69.906,0.50876,16.813,76.731,4.7969,-0.038314,1.2662,0.040055,1.3237,0.97861,-0.06915
25.25,-30.431,-69.826,1.3688,26.397,46.537,1.9129,-0.031231,0.60231,0.042975,0.8288,0.86145,0.68391
15.19,-30.442,-70.188,0.91041,85.563,158.17,2.4433,-0.030394,2.8565,0.036509,3.4312,0.99679,-0.69796
20.465,-30.464,-69.933,5.1099,1199.1,71.662,1.2695,-0.040405,9.4818,0.10647,24.985,0.92413,-12.243
23.13,-30.446,-69.883,2.6167,155.42,31.426,2.4876,-0.089573,5.3203,0.10684,6.3458,0.93105,-1.3383
21.94,-30.454,-69.906,0.50876,16.813,76.731,4.7969,-0.038314,1.2662,0.040055,1.3237,0.97861,-0.06915
25.25,-30.431,-69.826,1.3688,26.397,46.537,1.9129,-0.031231,0.60231,0.042975,0.8288,0.86145,0.68391
15.19,-30.442,-70.188,0.91041,85.563,158.17,2.4433,-0.030394,2.8565,0.036509,3.4312,0.99679,-0.69796
20.465,-30.464,-69.933,5.1099,1199.1,71.662,1.2695,-0.040405,9.4818,0.10647,24.985,0.92413,-12.243
23.13,-30.446,-69.883,2.6167,155.42,31.426,2.4876,-0.089573,5.3203,0.10684,6.3458,0.93105,-1.3383
21.94,-30.454,-69.906,0.50876,16.813,76.731,4.7969,-0.038314,1.2662,0.040055,1.3237,0.97861,-0.06915
25.25,-30.431,-69.826,1.3688,26.397,46.537,1.9129,-0.031231,0.60231,0.042975,0.8288,0.86145,0.68391
