alt_of_detection_km,lat_of_detection,lon_of_detection,vert_wavelength_km,horiz_wavelength_km,propagation_dir,axial_ratio,int_vert_group_vel_ms,int_horiz_group_vel_ms,int_vert_phase_spd_ms,int_horiz_phase_spd_ms,degreeofpolarization,stokes_param_Q
18.945,-29.901169,-70.603829,1.64530824579918,23.6367324626769,114.011486625961,9.1494339107652,-0.244123763781433,3.50711674059631,0.247075250239916,3.54951821519202,0.997894101488418,-0.261637579233661
23.335,-29.857543,-70.504966,4.97491235788466,449.93794344483,-58.272723998636,1.53581980429265,-0.0722387240839791,6.5333699597563,0.125404592975324,11.3417645584102,0.852622260874221,-0.313384772890958
26.405,-29.836114,-70.427414,3.23615639664762,9.3882500926826,73.0321591057581,35.0638708948569,-1.86090295840439,5.39857170988749,1.86241776570171,5.40296624093187,0.996560586112461,-0.163196534103332
28.05,-29.814292,-70.361334,0.655902283381323,20.0404323516646,43.7789757792141,4.84621870963915,-0.0499497032755155,1.52616277583033,0.0521710884959957,1.59403495948629,0.728274318529847,0.0662782284189352
18.945,-29.901,-70.604,1.6453,23.637,114.01,9.1494,-0.24412,3.5071,0.24708,3.5495,0.99789,-0.26164
23.335,-29.858,-70.505,4.9749,449.94,-58.273,1.5358,-0.072239,6.5334,0.1254,11.342,0.85262,-0.31338
26.405,-29.836,-70.427,3.2362,9.3883,73.032,35.064,-1.8609,5.3986,1.8624,5.403,0.99656,-0.1632
28.05,-29.814,-70.361,0.6559,20.04,43.779,4.8462,-0.04995,1.5262,0.052171,1.594,0.72827,0.066278
18.945,-29.901,-70.604,1.6453,23.637,114.01,9.1494,-0.24412,3.5071,0.24708,3.5495,0.99789,-0.26164
23.335,-29.858,-70.505,4.9749,449.94,-58.273,1.5358,-0.072239,6.5334,0.1254,11.342,0.85262,-0.31338
26.405,-29.836,-70.427,3.2362,9.3883,73.032,35.064,-1.8609,5.3986,1.8624,5.403,0.99656,-0.1632
28.05,-29.814,-70.361,0.6559,20.04,43.779,4.8462,-0.04995,1.5262,0.052171,1.594,0.72827,0.066278
18.945,-29.901,-70.604,1.6453,23.637,114.01,9.1494,-0.24412,3.5071,0.24708,3.5495,0.99789,-0.26164
23.335,-29.858,-70.505,4.9749,449.94,-58.273,1.5358,-0.072239,6.5334,0.1254,11.342,0.85262,-0.31338
26.405,-29.836,-70.427,3.2362,9.3883,73.032,35.064,-1.8609,5.3986,1.8624,5.403,0.99656,-0.1632
28.05,-29.814,-70.361,0.6559,20.04,43.779,4.8462,-0.04995,1.5262,0.052171,1.594,0.72827,0.066278
18.945,-29.901,-70.604,1.6453,23.637,114.01,9.1494,-0.24412,3.5071,0.24708,3.5495,0.99789,-0.26164
23.335,-29.858,-70.505,4.9749,449.94,-58.273,1.5358,-0.072239,6.5334,0.1254,11.342,0.85262,-0.31338
26.405,-29.836,-70.427,3.2362,9.3883,73.032,35.064,-1.8609,5.3986,1.8624,5.403,0.99656,-0.1632
28.05,-29.814,-70.361,0.6559,20.04,43.779,4.8462,-0.04995,1.5262,0.052171,1.594,0.72827,0.066278
18.945,-29.901,-70.604,1.6453,23.637,114.01,9.1494,-0.24412,3.5071,0.24708,3.5495,0.99789,-0.26164
23.335,-29.858,-70.505,4.9749,449.94,-58.273,1.5358,-0.072239,6.5334,0.1254,11.342,0.85262,-0.31338
26.405,-29.836,-70.427,3.2362,9.3883,73.032,35.064,-1.8609,5.3986,1.8624,5.403,0.99656,-0.1632
28.05,-29.814,-70.361,0.6559,20.04,43.779,4.8462,-0.04995,1.5262,0.052171,1.594,0.72827,0.066278
18.945,-29.901,-70.604,1.6453,23.637,114.01,9.1494,-0.24412,3.5071,0.24708,3.5495,0.99789,-0.26164
23.335,-29.858,-70.505,4.9749,449.94,-58.273,1.5358,-0.072239,6.5334,0.1254,11.342,0.85262,-0.31338
26.405,-29.836,-70.427,3.2362,9.3883,73.032,35.064,-1.8609,5.3986,1.8624,5.403,0.99656,-0.1632
28.05,-29.814,-70.361,0.6559,20.04,43.779,4.8462,-0.04995,1.5262,0.052171,1.594,0.72827,0.066278
