alt_of_detection_km,lat_of_detection,lon_of_detection,vert_wavelength_km,horiz_wavelength_km,propagation_dir,axial_ratio,int_vert_group_vel_ms,int_horiz_group_vel_ms,int_vert_phase_spd_ms,int_horiz_phase_spd_ms,degreeofpolarization,stokes_param_Q
18.03,-30.451106,-70.087982,0.738281373262241,83.9919062696743,242.911814926885,2.7882991832133,-0.0294411475331837,3.34942502091335,0.0337869530312505,3.84383338780332,0.939552530028062,-0.223926656131635
21.91,-30.437096,-69.942403,0.717398280029299,28.1788457730517,68.2695966553868,2.2962700281246,-0.0219100505814255,0.860609724612857,0.0270377802230835,1.0620229517707,0.891248317359809,-0.277724291143631
22.17,-30.435585,-69.937351,0.390761304452214,2.34784459040612,62.3185094229805,14.3335420806581,-0.0914816091933628,0.549656782335134,0.0919290604891592,0.552345242252573,0.981475279171045,-0.0590584128249788
25.9875,-30.389902,-69.832979,0.678147549450647,25.6063454390939,122.427049380156,4.09158312671423,-0.0428207559394327,1.61687979177464,0.0455410795001468,1.71959717954399,0.923482046286202,-0.0956408207742398
18.03,-30.451,-70.088,0.73828,83.992,242.91,2.7883,-0.029441,3.3494,0.033787,3.8438,0.93955,-0.22393
21.91,-30.437,-69.942,0.7174,28.179,68.27,2.2963,-0.02191,0.86061,0.027038,1.062,0.89125,-0.27772
22.17,-30.436,-69.937,0.39076,2.3478,62.319,14.334,-0.091482,0.54966,0.091929,0.55235,0.98148,-0.059058
25.988,-30.39,-69.833,0.67815,25.606,122.43,4.0916,-0.042821,1.6169,0.045541,1.7196,0.92348,-0.095641
18.03,-30.451,-70.088,0.73828,83.992,242.91,2.7883,-0.029441,3.3494,0.033787,3.8438,0.93955,-0.22393
21.91,-30.437,-69.942,0.7174,28.179,68.27,2.2963,-0.02191,0.86061,0.027038,1.062,0.89125,-0.27772
22.17,-30.436,-69.937,0.39076,2.3478,62.319,14.334,-0.091482,0.54966,0.091929,0.55235,0.98148,-0.059058
25.988,-30.39,-69.833,0.67815,25.606,122.43,4.0916,-0.042821,1.6169,0.045541,1.7196,0.92348,-0.095641
18.03,-30.451,-70.088,0.73828,83.992,242.91,2.7883,-0.029441,3.3494,0.033787,3.8438,0.93955,-0.22393
21.91,-30.437,-69.942,0.7174,28.179,68.27,2.2963,-0.02191,0.86061,0.027038,1.062,0.89125,-0.27772
22.17,-30.436,-69.937,0.39076,2.3478,62.319,14.334,-0.091482,0.54966,0.091929,0.55235,0.98148,-0.059058
25.988,-30.39,-69.833,0.67815,25.606,122.43,4.0916,-0.042821,1.6169,0.045541,1.7196,0.92348,-0.095641
