alt_of_detection_km,lat_of_detection,lon_of_detection,vert_wavelength_km,horiz_wavelength_km,propagation_dir,axial_ratio,int_vert_group_vel_ms,int_horiz_group_vel_ms,int_vert_phase_spd_ms,int_horiz_phase_spd_ms,degreeofpolarization,stokes_param_Q
15.185,-30.354026,-70.619587,0.856156430636332,33.3517297214952,184.547537859013,6.02130628686521,-0.0822781997231807,3.20516225883998,0.0846119272514957,3.29607303984075,0.969526773839888,-0.325809010569312
22.7225,-30.308036,-70.251164,0.587523598010623,12.6830429882539,122.005334300423,6.99182626145731,-0.06604313460745,1.4256923775344,0.0674223193115447,1.45546523933945,0.795528748207797,-0.0552099382540745
15.185,-30.354,-70.62,0.85616,33.352,184.55,6.0213,-0.082278,3.2052,0.084612,3.2961,0.96953,-0.32581
22.723,-30.308,-70.251,0.58752,12.683,122.01,6.9918,-0.066043,1.4257,0.067422,1.4555,0.79553,-0.05521
15.185,-30.354,-70.62,0.85616,33.352,184.55,6.0213,-0.082278,3.2052,0.084612,3.2961,0.96953,-0.32581
22.723,-30.308,-70.251,0.58752,12.683,122.01,6.9918,-0.066043,1.4257,0.067422,1.4555,0.79553,-0.05521
15.185,-30.354,-70.62,0.85616,33.352,184.55,6.0213,-0.082278,3.2052,0.084612,3.2961,0.96953,-0.32581
22.723,-30.308,-70.251,0.58752,12.683,122.01,6.9918,-0.066043,1.4257,0.067422,1.4555,0.79553,-0.05521
