alt_of_detection_km,lat_of_detection,lon_of_detection,vert_wavelength_km,horiz_wavelength_km,propagation_dir,axial_ratio,int_vert_group_vel_ms,int_horiz_group_vel_ms,int_vert_phase_spd_ms,int_horiz_phase_spd_ms,degreeofpolarization,stokes_param_Q
15.5125,-30.437665,-70.1789,1.07716179759666,94.8887035191471,-27.2826416724308,2.58877254392107,-0.0389387901290711,3.43017299740446,0.0457680681565912,4.03177374062524,0.991374821086227,-0.922166371644123
19.195,-30.468311,-70.022318,1.03015233760292,8.94898750869296,-4.05426459090309,20.6759480250971,-0.348768724797223,3.02977224601143,0.349586480847082,3.03687613580346,0.937773563125905,-0.0927759006024598
23.18,-30.442962,-69.914797,0.463728556445189,12.9983175723689,195.672684491128,4.96203608508508,-0.0362330334108968,1.01561240587683,0.0377669144095882,1.05860711056367,0.962531725653058,0.0983070597911538
26.89,-30.421462,-69.830094,2.81638627848847,72.0507965586011,75.8292307209058,5.11984736824835,-0.227637951239681,5.82359594600409,0.236666604007718,6.05457336155137,0.972749249356354,0.321632447339269
15.512,-30.438,-70.179,1.0772,94.889,-27.283,2.5888,-0.038939,3.4302,0.045768,4.0318,0.99137,-0.92217
19.195,-30.468,-70.022,1.0302,8.949,-4.0543,20.676,-0.34877,3.0298,0.34959,3.0369,0.93777,-0.092776
23.18,-30.443,-69.915,0.46373,12.998,195.67,4.962,-0.036233,1.0156,0.037767,1.0586,0.96253,0.098307
26.89,-30.421,-69.83,2.8164,72.051,75.829,5.1198,-0.22764,5.8236,0.23667,6.0546,0.97275,0.32163
15.512,-30.438,-70.179,1.0772,94.889,-27.283,2.5888,-0.038939,3.4302,0.045768,4.0318,0.99137,-0.92217
19.195,-30.468,-70.022,1.0302,8.949,-4.0543,20.676,-0.34877,3.0298,0.34959,3.0369,0.93777,-0.092776
23.18,-30.443,-69.915,0.46373,12.998,195.67,4.962,-0.036233,1.0156,0.037767,1.0586,0.96253,0.098307
26.89,-30.421,-69.83,2.8164,72.051,75.829,5.1198,-0.22764,5.8236,0.23667,6.0546,0.97275,0.32163
15.512,-30.438,-70.179,1.0772,94.889,-27.283,2.5888,-0.038939,3.4302,0.045768,4.0318,0.99137,-0.92217
19.195,-30.468,-70.022,1.0302,8.949,-4.0543,20.676,-0.34877,3.0298,0.34959,3.0369,0.93777,-0.092776
23.18,-30.443,-69.915,0.46373,12.998,195.67,4.962,-0.036233,1.0156,0.037767,1.0586,0.96253,0.098307
26.89,-30.421,-69.83,2.8164,72.051,75.829,5.1198,-0.22764,5.8236,0.23667,6.0546,0.97275,0.32163
