alt_of_detection_km,lat_of_detection,lon_of_detection,vert_wavelength_km,horiz_wavelength_km,propagation_dir,axial_ratio,int_vert_group_vel_ms,int_horiz_group_vel_ms,int_vert_phase_spd_ms,int_horiz_phase_spd_ms,degreeofpolarization,stokes_param_Q
19.5775,-30.472791,-69.955888,4.00070721595825,27.6282182846354,20.8572875438214,26.6146599279548,-1.74514648588528,12.0516912255861,1.74761368155105,12.0687292682934,0.956123600166128,3.79136431709156
19.9275,-30.470193,-69.93662,0.238198435577427,2.25920795319731,-10.1521286280441,22.0703644226745,-0.0861080288297334,0.816696982474692,0.0862851690358923,0.818377079833918,0.999174217805501,0.373405123501718
23.255,-30.434019,-69.847657,0.485039218632904,33.5397046589878,63.0328658839829,3.25766295974332,-0.0234903148626183,1.62431859646206,0.0259340742944378,1.79330074564136,0.956039668946499,0.137778906660839
19.578,-30.473,-69.956,4.0007,27.628,20.857,26.615,-1.7451,12.052,1.7476,12.069,0.95612,3.7914
19.927,-30.47,-69.937,0.2382,2.2592,-10.152,22.07,-0.086108,0.8167,0.086285,0.81838,0.99917,0.37341
23.255,-30.434,-69.848,0.48504,33.54,63.033,3.2577,-0.02349,1.6243,0.025934,1.7933,0.95604,0.13778
19.578,-30.473,-69.956,4.0007,27.628,20.857,26.615,-1.7451,12.052,1.7476,12.069,0.95612,3.7914
19.927,-30.47,-69.937,0.2382,2.2592,-10.152,22.07,-0.086108,0.8167,0.086285,0.81838,0.99917,0.37341
23.255,-30.434,-69.848,0.48504,33.54,63.033,3.2577,-0.02349,1.6243,0.025934,1.7933,0.95604,0.13778
19.578,-30.473,-69.956,4.0007,27.628,20.857,26.615,-1.7451,12.052,1.7476,12.069,0.95612,3.7914
19.927,-30.47,-69.937,0.2382,2.2592,-10.152,22.07,-0.086108,0.8167,0.086285,0.81838,0.99917,0.37341
23.255,-30.434,-69.848,0.48504,33.54,63.033,3.2577,-0.02349,1.6243,0.025934,1.7933,0.95604,0.13778
19.578,-30.473,-69.956,4.0007,27.628,20.857,26.615,-1.7451,12.052,1.7476,12.069,0.95612,3.7914
19.927,-30.47,-69.937,0.2382,2.2592,-10.152,22.07,-0.086108,0.8167,0.086285,0.81838,0.99917,0.37341
23.255,-30.434,-69.848,0.48504,33.54,63.033,3.2577,-0.02349,1.6243,0.025934,1.7933,0.95604,0.13778
19.578,-30.473,-69.956,4.0007,27.628,20.857,26.615,-1.7451,12.052,1.7476,12.069,0.95612,3.7914
19.927,-30.47,-69.937,0.2382,2.2592,-10.152,22.07,-0.086108,0.8167,0.086285,0.81838,0.99917,0.37341
23.255,-30.434,-69.848,0.48504,33.54,63.033,3.2577,-0.02349,1.6243,0.025934,1.7933,0.95604,0.13778
19.578,-30.473,-69.956,4.0007,27.628,20.857,26.615,-1.7451,12.052,1.7476,12.069,0.95612,3.7914
19.927,-30.47,-69.937,0.2382,2.2592,-10.152,22.07,-0.086108,0.8167,0.086285,0.81838,0.99917,0.37341
23.255,-30.434,-69.848,0.48504,33.54,63.033,3.2577,-0.02349,1.6243,0.025934,1.7933,0.95604,0.13778
