 2063,  824.9,-84587.8,  25,  2344, 13.3, 230 0000000000000000
 2064,  824.8,-84626.9,  25,  2344, 12.3, 233 0000000000000000
 2065,  824.7,-84585.6,  25,  2331, 11.2, 236 0000000000000000
 2066,  824.5,-84504.0,  25,  2344, 10.3, 240 0000000000000000
 2067,  824.3,-84516.3,  25,  2344,  9.4, 245 0000000000000000
 2068,  824.1,-84598.2,  25,  2344,  8.6, 250 0000000000000000
 2069,  823.9,-84667.9,  24,  2344,  7.8, 255 0000000000000000
 2072,  823.6,-84596.3,  25,  2344,  6.5, 271 0000000000000000
 2073,  823.6,-84555.0,  25,  2344,  6.0, 281 0000000000000000
 2074,  823.4,-84609.2,  25,  2344,  6.1, 280 0000000000000000
 2075,  823.3,-84538.2,  24,  2344,  6.2, 278 0000000000000000
 2076,  823.3,-84577.3,  23,  2344,  6.3, 276 0000000000000000
 2077,  823.1,-84592.4,  23,  2358,  6.4, 273 0000000000000000
 2078,  823.0,-84615.4,  23,  2358,  6.5, 269 0000000000000000
 2079,  822.9,-84642.8,  22,  2358,  6.7, 266 0000000000000000
 2080,  822.8,-84601.8,  22,  2358,  7.1, 260 0000000000000000
 2081,  822.8,-84545.7,  23,     0,  0.0,   0 0000000000000000
 2082,  822.5,-84601.5,  23,  2358,  8.2, 249 0000000000000000
 2083,  822.3,-84669.0,  23,  2358,  9.1, 243 0000000000000000
 2084,  822.2,-84613.4,  23,  2358,  9.2, 242 0000000000000000
 2085,  822.0,-84679.7,  23,  2358,  9.3, 240 0000000000000000
 2086,  822.2,-84532.8,  22,  2358,  9.3, 241 0000000000000000
 2087,  821.9,-84601.2,  22,  2358,  9.4, 241 0000000000000000
    0,  821.8,-84679.3,  22,  2358,  9.4, 241 0000000000000000
 2089,  821.8,-84704.6,  23,  2358,  9.5, 241 0000000000000000
 2090,  821.5,-84679.7,  23,  2358,  9.6, 241 0000000000000000
 2091,  821.5,-84691.9,  23,  2371,  9.7, 242 0000000000000000
 2092,  821.3,-84662.6,  23,  2371,  9.8, 242 0000000000000000
 2093,  821.2,-84614.4,  23,  2371,  9.8, 243 0000000000000000
