Alt,u,v,temp,bv2
22873,-1.82917031537878,-2.72743692472053,0.21732070365352,0.000746134367052024
22879,-2.10845565479079,-2.82182905027381,0.207442489851083,-0
22884,-2.31705387008718,-2.81610138832918,0.197564276048645,-0.00109135633355864
22890,-2.50354375580134,-2.87291251961347,0.287686062246202,-0.00109257305450038
22896,-2.80942174492592,-2.88771009786042,0.277807848443757,-0
22902,-2.99690564628932,-2.94103062106544,0.26792963464132,0.000750702822747987
22908,-3.21007363800671,-2.91270673512151,0.257780784844286,0.000750128207071995
22913,-3.493997380216,-2.99190595320282,0.247631935047266,-0
22919,-3.68221999223253,-3.04173783019022,0.23748308525024,0.000752718908519513
22925,-3.89798549560394,-2.99779334413765,0.22733423545322,-0.00108996405964405
22931,-4.1828973601872,-3.07184421427195,0.317185385656188,-0.00184557438794705
22937,-4.37160115667444,-3.11820677299115,0.307036535859162,0.000754745852248113
22943,-4.56002013236466,-3.16452822758017,0.296752368064851,0.00075416503293126
22949,-4.87519543562314,-3.12748080965209,0.286332882273243,-0
22954,-5.06422973272447,-3.17027404029138,0.275913396481627,0.000756783741886248
22960,-5.25310810384325,-3.21314107983134,0.265493910690019,0.00075619978300727
22966,-5.4732314178131,-3.13444283383539,0.255074424898403,-0
22972,-5.59533945666026,-3.02585190129741,0.244654939106795,0.000758832666339416
22978,-5.81368442287903,-2.93410496622727,0.234100135317902,0.000758245542373437
22984,-5.9329408795853,-2.81588461655686,0.223545331528989,-0
22989,-6.1241063330182,-2.84510407439634,0.212990527740097,0.000760892715477906
22995,-6.24193512773701,-2.7196806206891,0.202300405953892,0.000760302400622605
23001,-6.45665286536752,-2.6059469396166,0.191610284167702,-0
23007,-6.66986891964819,-2.48503096669216,0.180784844384213,0.000762963980151166
23013,-6.76301458692579,-2.48993748229676,0.169959404600725,0.000762370448323
23019,-6.97462220969368,-2.36005300545128,0.159133964817244,-0
23025,-7.08481233303922,-2.21245365683027,0.148308525033748,0.000765046552200947
23030,-7.27742094877022,-2.22461112368757,0.137483085250267,0.000764449777031306
23036,-7.48490313589188,-2.078748698512,0.126522327469473,-0
23042,-7.59021316371168,-1.91890615775339,0.11556156968868,0.000767140524473435
23048,-7.78278293800412,-1.92456478962955,0.104465493910595,0.000766540479304737
23054,-7.98522958166139,-1.76310332001491,0.0933694181325251,-0
