Alt,u,v,temp,bv2
21703,-2.96075418542194,-6.51037574790583,0.470437956204158,-0
21708,-2.95391393115846,-6.51324412413824,0.464872262773504,0.000636994356652885
21713,-3.07686083422035,-6.37471675833264,0.459215328466932,0.000636590983957275
21718,-3.19737516932214,-6.23391990980377,0.45346715328445,-0
21723,-3.26615994935451,-6.30255145918618,0.447718978101975,0.00063840877862587
21727,-3.38530300224023,-6.15815511362955,0.441970802919492,0.0006380036131634
21732,-3.50199908622711,-6.0117014273526,0.43622262773701,-0
21737,-3.49551532308378,-6.01465406687488,0.430291970802706,0.00063982949592145
21742,-3.68857557331638,-5.9276700045868,0.424361313868403,0.000639422525713728
21747,-3.80133145573783,-5.77568228395025,0.418430656934099,-0
21751,-3.79518178084043,-5.77866431315481,0.412499999999795,0.000641256550661368
21756,-3.98635052589468,-5.68339353123115,0.406478102189581,0.000640847763623172
21761,-3.98043151839456,-5.68636647810992,0.40045620437936,-0
21766,-4.08918238011161,-5.52887628833918,0.394343065693228,0.000642689985346324
21771,-4.11234384504719,-5.31347980479663,0.388229927007089,0.000642279369283927
21775,-4.10677900897647,-5.31642469159206,0.382025547445046,-0
21780,-4.01845339961186,-5.26353742203222,0.375821167882997,0.000644129842855668
21785,-4.03617639365062,-5.05057074800304,0.369616788320954,0.000643717385466343
21790,-3.94715442257097,-4.99919927073006,0.363229927007083,-0
21795,-4.04427908860271,-4.84173341700223,0.356843065693212,0.000645576166454319
21799,-3.95446340114566,-4.79172961772789,0.350456204379348,0.000645161855324754
21804,-3.96239833862998,-4.58253530734141,0.344069343065478,-0
21809,-3.95763898571668,-4.5855659478286,0.337591240875689,0.000647028999797892
21814,-3.96110480663027,-4.37772346500922,0.331113138685915,0.00064661282240258
21819,-3.8698114422545,-4.33070718755488,0.324543795620215,-0
21823,-3.86801255107804,-4.12580237335584,0.317883211678613,0.000648488386934458
21828,-3.86348364064932,-4.1289031481454,0.311222627737003,0.000648070330635037
21833,-3.85729178369744,-3.92545666977433,0.3045620437954,-0
21838,-3.76439797425596,-3.88149033040422,0.297901459853797,-0.00125522708054515
21843,-3.84202292109917,-3.72647884983615,0.391149635036271,-0.00125679635042943
21847,-3.74837322848141,-3.68407999869587,0.38430656934284,-0
21852,-3.73262125569663,-3.48540062193634,0.377463503649416,0.000651427000777599
21857,-3.80325462032253,-3.33069797805711,0.370620437955985,0.000651005148296446
21862,-3.7080329588002,-3.29122055752349,0.363777372262554,-0
21867,-3.68376408409257,-3.0960151421554,0.356843065693212,0.000652906317591287
21871,-3.58793040230449,-3.05801413669343,0.349908759123871,0.000652482547599489
